Product Name,Colors,Pic Urls,Care Instructions
Regular-fit sweatshirt with curved logo and adjustable hood,"Red , Blue , Dark Blue , Green , Dark Green , Light Grey , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50421591_653_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in washed cotton piqué,"Red , Dark Red , Light Purple , Purple , Dark Purple , Turquoise , Light Blue , Light Blue , Light Blue , Turquoise , Turquoise , Blue , Blue , Blue , Dark Blue , Light Green , Light Green , Khaki , Light Beige , Light Brown , White , Light Grey , Light Grey , Light Grey , Grey , Dark Grey , Brown , Black , Orange , Yellow , Yellow , light pink , Dark pink , Red , Red","https://images.hugoboss.com/is/image/boss/hbeu50378365_615_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jogging trousers with curved logo,"Red , Blue , Dark Blue , Light Green , Dark Green , Light Grey , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418726_653_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-jersey T-shirt with PVC-free animal print,"White , Black , Black","https://images.hugoboss.com/is/image/boss/hbeu50427904_102_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Crew-neck T-shirt in cotton with monogram print,"White , Black","https://images.hugoboss.com/is/image/boss/hbeu50433767_118_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton T-shirt with collection-themed graphic print,"Dark Blue , White , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50421975_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Stretch-cotton T-shirt with contrast stitching and curved logo,"Dark Red , Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50419923_653_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in stretch cotton gabardine,"Dark Brown , Light Orange , Dark Red , Light Blue , Blue , Blue , Dark Blue , Green , Light Green , Beige , Beige , Brown , Dark Brown , Dark Brown , White , White , Grey , Silver , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50325936_207_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
French-terry cotton sweatshirt with iconic print,"Black , Red","https://images.hugoboss.com/is/image/boss/hbeu50427982_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Stretch-cotton T-shirt with contrast stitching and curved logo,"Dark Blue , Dark Red , Grey","https://images.hugoboss.com/is/image/boss/hbeu50419923_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Drawstring shorts in ottoman-structured cotton,"Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50430686_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit chinos in stretch cotton gabardine,"Beige , Dark Blue , Dark Blue , Dark Blue , Dark Brown , White , Grey , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50325944_294_342?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Two-pack of crew-neck T-shirts in stretch-cotton jersey,"White , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50325440_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Reversed-logo sweatshirt in interlock cotton,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50310522_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Crew-neck T-shirt in pure cotton with liquid finishing,"Dark Blue , light pink , Dark Purple , Light Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50379310_410_300?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Logo-print T-shirt in single-jersey cotton,"Black , White , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50387414_002_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in washed piqué with logo patch,"Dark Blue , Dark Red , Light Blue , Turquoise , Blue , Khaki , White , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50378334_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit polo shirt in Pima-cotton piqué,"Black , Light Blue , Dark Blue , Green , White , Grey","https://images.hugoboss.com/is/image/boss/hbeu50303542_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular fit piqué polo shirt with quick-dry technology,"Red , Orange , Blue , Blue , Dark Blue , Dark Green , Dark Green , White , Light Grey , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50326299_653_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in Pima-cotton Oxford piqué,"Blue , Blue , Dark Blue , White , Light Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50399185_434_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit T-shirt with reversed-logo print,"Black , Khaki","https://images.hugoboss.com/is/image/boss/hbeu50425768_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in stretch-cotton gabardine,"Dark Brown , Dark Red , Dark Blue , Light Beige , Beige , White , White , Light Grey , Beige , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50410310_202_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Zip-through hoodie in cotton with cut-logo tape,"Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50434005_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-jersey polo shirt with checked jacquard collar,"Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50421481_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Extra-slim-fit trousers in striped seersucker with stretch,Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50428046_444_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Slim-fit chinos in stretch-cotton gabardine,"Dark Grey , Dark Red , Dark Blue , Light Beige , Beige , Dark Brown , White , White , Light Grey , Beige , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50410310_022_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Water-repellent coat with logo-print lining,Khaki,"https://images.hugoboss.com/is/image/boss/hbeu50426564_251_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-piqué polo shirt with baseball collar,White,"https://images.hugoboss.com/is/image/boss/hbeu50425638_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit T-shirt in cotton with mixed stripes,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50424127_403_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit chinos in stretch cotton gabardine,"Dark Brown , Light Orange , Dark Red , Light Blue , Blue , Blue , Dark Blue , Green , Light Green , Beige , Beige , Brown , Dark Brown , Dark Brown , White , White , Grey , Silver , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50325936_202_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Crew-neck T-shirt in pure cotton with liquid finishing,"Dark Purple , light pink , Light Blue , Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50379310_507_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit casual chinos in brushed stretch cotton,"Brown , Dark Orange , Red , Blue , Light Blue , Light Blue , Turquoise , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Green , Green , Dark Green , Dark Green , Beige , Light Beige , Beige , Khaki , Beige , Beige , Light Grey , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379152_299_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Pure-cotton T-shirt with collection-themed slogan,"Black , White","https://images.hugoboss.com/is/image/boss/hbeu50424445_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Crew-neck T-shirt in pure cotton with liquid finishing,"Light Blue , light pink , Dark Purple , Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50379310_450_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Bomber-style sweatshirt with padded body and textured sleeves,Black,"https://images.hugoboss.com/is/image/boss/hbeu50398097_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit shorts in stretch-cotton twill,"Beige , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50406679_294_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit polo shirt with colour-bock stripes,"Black , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50420905_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
French-terry hooded jacket with rubberised sleeve badge,"Dark Green , Dark Blue , Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50402391_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in anti-wrinkle fabric,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50420519_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit trousers in moisture-wicking fabric,"White , Blue , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50412897_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt in eco-friendly Recot2® cotton,"Light Orange , Pink , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50425772_830_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit cropped trousers with drawstring waist,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50421819_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit trousers in peached stretch cotton,"Black , Dark Blue , Beige","https://images.hugoboss.com/is/image/boss/hbeu50420400_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Hooded jacket in French terry with algorithm print,"Dark Blue , Blue","https://images.hugoboss.com/is/image/boss/hbeu50426604_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Hybrid sweatshirt with detachable hood,Orange,"https://images.hugoboss.com/is/image/boss/hbeu50423213_820_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton jogging trousers with side stripes and zip detail,Black,"https://images.hugoboss.com/is/image/boss/hbeu50433756_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Piqué polo shirt with layered metallic logo,"Dark Blue , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50425969_412_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit melange trousers in virgin wool,"Blue , Dark Blue , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50409254_419_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Shirt-style polo top in mercerised cotton,"White , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50423901_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit mixed-material T-shirt with S.Café®,Black,"https://images.hugoboss.com/is/image/boss/hbeu50420003_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit sweatshirt with large curved logo,"Dark Blue , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50421597_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular fit piqué polo shirt with quick-dry technology,"Dark Green , Orange , Red , Blue , Blue , Dark Blue , Dark Green , White , Light Grey , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50326299_305_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Zip-through sweatshirt with zipped phone pocket,"Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50412906_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-blend polo shirt with tonal logo motif,Black,"https://images.hugoboss.com/is/image/boss/hbeu50431784_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Interlock-piqué shorts with Tokyo artwork,"Black , White","https://images.hugoboss.com/is/image/boss/hbeu50432307_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Logo sweatshirt in liquid interlock cotton with metallic trims,Black,"https://images.hugoboss.com/is/image/boss/hbeu50421823_001_100?wid=462&qlt=80 , ","careinstructioncode.369 , 30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit casual chinos in brushed stretch cotton,"Light Blue , Blue , Light Blue , Turquoise , Dark Blue , Dark Blue , Green , Green , Light Brown , Light Beige , Light Brown , Beige , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379154_456_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit chino shorts in lightweight stretch-cotton twill,"Beige , light pink , Dark Blue , Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50430899_269_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit casual chinos in brushed stretch cotton,"Green , Dark Orange , Red , Blue , Light Blue , Light Blue , Turquoise , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Dark Blue , Green , Dark Green , Dark Green , Brown , Beige , Light Beige , Beige , Khaki , Beige , Beige , Light Grey , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50379152_350_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Formal coat in a melange wool blend,Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50432383_061_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-piqué zip-neck polo shirt with logo tape sleeves,"Black , light pink , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50432191_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Fully recyclable T-shirt in cotton with summer-themed print,"White , Dark Blue , Light Green","https://images.hugoboss.com/is/image/boss/hbeu50432988_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit coat in water-repellent cotton,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50427223_480_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit trousers in a melange virgin-wool blend,"Light Grey , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50422590_061_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit sweatshirt with all-over digital print,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50430848_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Garment-dyed hoodie in Recot2® French terry,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50425763_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Unisex cotton sweatshirt with reversed personalisation,"White , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50414780_100_300?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit chinos in stretch-cotton gabardine,"Dark Blue , Dark Red , Light Beige , Beige , Dark Brown , White , White , Light Grey , Beige , Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50410310_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Slim-fit T-shirt in heathered cotton with striped trims,Turquoise,"https://images.hugoboss.com/is/image/boss/hbeu50430022_449_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Long-sleeved polo shirt in interlock cotton,"Dark Blue , Dark Blue , Light Green , Light Green , White , Dark Grey , Silver , Black","https://images.hugoboss.com/is/image/boss/hbeu50391826_417_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Tapered-fit trousers with printed inserts and zipped hems,"Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50430356_410_100?wid=462&qlt=80 , ","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Zip-through polo shirt in mercerised cotton,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50425748_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt in multicoloured cotton piqué,"Light Beige , Dark pink , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50430471_270_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit shorts with tonal fabric blocking,"Dark Grey , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50430343_020_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt in stretch cotton with layered logo,"Dark pink , Light Yellow , Yellow , Red , Dark Red , Dark Red , Blue , Blue , Dark Blue , Dark Blue , Light Green , Khaki , White , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418749_652_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt in stretch cotton with layered logo,"Dark Blue , Light Yellow , Yellow , Dark pink , Red , Dark Red , Dark Red , Blue , Blue , Dark Blue , Light Green , Khaki , White , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50418749_414_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in stretch-cotton piqué,"Light Green , Dark Red , Dark Red , Dark Blue , Khaki , White , Khaki , White , Light Grey , Light Grey , Brown , Black","https://images.hugoboss.com/is/image/boss/hbeu50387465_346_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Relaxed-fit sweatshirt in cotton-blend terry,"Black , Yellow , Dark Red , Dark Blue , White , Light Grey , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50418949_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit polo shirt in Pima-cotton piqué,"Purple , Light Orange , Orange , Yellow , Red , Red , Light Blue , Light Blue , Light Blue , Blue , Dark Blue , Light Green , Light Green , Green , Brown , Brown , Dark Brown , Light Grey , Silver","https://images.hugoboss.com/is/image/boss/hbeu50425985_518_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Tapered-fit shorts with drawstring waistband,"Dark Blue , Light Blue , Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50432298_414_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit polo shirt in stretch-cotton piqué,"Dark Blue , Dark Red , Dark Red , Light Green , Khaki , White , Khaki , White , Light Grey , Light Grey , Brown , Black","https://images.hugoboss.com/is/image/boss/hbeu50387465_404_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Long-sleeved cotton T-shirt with rubberised shoulder logo,"Black , Dark Blue , Dark Blue , Light Grey , Black , Black","https://images.hugoboss.com/is/image/boss/hbeu50399925_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué zip-neck polo shirt with logo tape sleeves,"Dark Grey , light pink , Black","https://images.hugoboss.com/is/image/boss/hbeu50432191_027_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jogging trousers with layered logo,"Dark Blue , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50410320_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-blend shorts with animal-patterned camouflage print,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50434753_407_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Slim-fit polo shirt in washed piqué with logo patch,"Light Grey , Dark Red , Light Blue , Turquoise , Blue , Dark Blue , Khaki , White , Black","https://images.hugoboss.com/is/image/boss/hbeu50378334_051_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Stretch-jersey polo shirt with mixed-print graphic,White,"https://images.hugoboss.com/is/image/boss/hbeu50431814_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit T-shirt in interlock cotton with collection stripe,Black,"https://images.hugoboss.com/is/image/boss/hbeu50425765_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Crew-neck sweatshirt in interlock cotton with studded logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50426416_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton jersey T-shirt with mixed-print logo,"White , Dark Red , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50420313_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Stretch-cotton T-shirt with printed logo artwork,White,"https://images.hugoboss.com/is/image/boss/hbeu50424073_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton T-shirt with monogram and camouflage print,White,"https://images.hugoboss.com/is/image/boss/hbeu50426065_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Water-repellent coat in midweight twill,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50425006_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-jersey T-shirt with cassette-tape graphic print,White,"https://images.hugoboss.com/is/image/boss/hbeu50428216_100_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
